rank,country,lat,long,score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
133,Mauritania,21.00789,-10.940835,4.153,4.356,3.95,1.207,1.1,0.865,0.45,0.304,0.088,0.138
134,Jordan,30.585164,36.238414,4.152,4.276,4.029,0.695,1.324,0.724,0.675,0.476,0.058,0.2
135,Togo,8.619543,0.824782,4.112,4.272,3.953,2.061,0.771,0.322,0.36,0.292,0.174,0.132
136,India,20.593684,78.96288,3.777,3.828,3.726,0.795,1.167,0.376,0.471,0.647,0.198,0.123
137,Zambia,-13.133897,27.849332,3.76,3.902,3.618,1.135,0.93,0.577,0.306,0.525,0.203,0.083
138,Malawi,-13.254308,34.301525,3.75,3.941,3.56,1.661,0.648,0.279,0.388,0.477,0.14,0.157
139,Tanzania,-6.369028,34.888822,3.702,3.847,3.558,0.735,0.848,0.597,0.425,0.578,0.248,0.27
140,Sierra Leone,8.460555,-11.779889,3.574,3.732,3.416,1.556,0.686,0.416,0.273,0.387,0.202,0.055
141,Lesotho,-29.609988,28.233608,3.512,3.748,3.276,1.312,0.839,0.848,0,0.419,0.076,0.018
142,Botswana,-22.328474,24.684866,3.471,3.667,3.275,0.187,1.503,0.815,0.28,0.571,0.012,0.102
143,Rwanda,-1.940278,29.873888,3.268,3.462,3.074,0.536,0.785,0.133,0.462,0.621,0.187,0.544
144,Zimbabwe,-19.015438,29.154857,2.995,3.11,2.88,0.548,0.947,0.69,0.27,0.329,0.106,0.105
145,Lebanon,33.854721,35.862285,2.955,3.049,2.862,0.216,1.392,0.498,0.631,0.103,0.082,0.034
146,Afghanistan,33.93911,67.709953,2.404,2.469,2.339,1.263,0.758,0,0.289,0,0.089,0.005
